StratumID,ClassLabelID,StateClassID,Description
10080_1_2_3_7,A,Early1:ALL,"Bunchgrass/forb groundcover with resprouting oak and oak saplings following stand - replacement fire. Grass species vary geographically .  Festuca  idahoensis ssp. r oemeri , Elymus glaucus ,  Danthonia  californica , and Bromus  carinatus  are common in the Willamette Valley .  Festuca idahoensis and F.  californica  are common in southwest Oregon . Umbellularia  californica  and  Acer  macrophyllum  may be common in the understory in California  but not in O regon ."
10080_1_2_3_7,B,Mid1:CLS,"This stand type represents the portion of the landscape that has escaped fire for about 30 yrs or so and has developed a closed canopy (>35% canopy cover of oak with some Douglas-fir).  In the absence of fire , this stand will perpetuate and may eventually convert to a conifer forest.  However, fire of any severity can occur in these stands. Shrub component may include Amelanchier  alnifolia ,  Symphoricarpos  albus , and Mahonia  aquifolium . C onifers can exceed the height of the dominant oaks in the absence of fire."
10080_1_2_3_7,C,Mid1:OPN,"The majority of the total landscape is in this open condition (<35% canopy cover oak savanna) with large - diameter, well-spaced trees. The understory is primarily composed of grasses, but species vary geographically .  Festuca  idahoensis  ssp . r oemeri , Elymus glaucus ,  Danthonia  californica , and Bromus  carinatus  are common in the Willamette Valley; Festuca idahoensis  and  F.  californica are common in southwest Oregon ."
10090_19,A,Early1:ALL,"Aspen, birch and poplar resprouting vigorously following fire. Conditions will become closed canopy quickly."
10090_19,B,Mid1:OPN,"Stands of pole to large sized aspen, birch, and balsam poplar."
10090_19,C,Late1:CLS,"Stands with coniferous species, resulting from long fire-free intervals. Conifers may include Picea  glauca , Picea  engelmannii , Abies  lasiocarpa , Pinus contorta , Pinus ponderosa , and Pseudotsuga  menziesii . Cover of coniferous species will typically be <30%, but overall tree cover may reach 100%."
10110_15,A,Early1:ALL,Aspen suckers less than six feet tall and abundant. Aspen will not necessarily be tree form; will often be <1in DBH . Grass and forbs resprout vigorously with high cover. Often densely vegetated.
10110_15,B,Mid1:CLS,"Aspen over six feet tall dominate. Canopy cover highly variable, but usually dense. Understory also usually dense."
10110_15,C,Late1:CLS,"Aspen trees 9in+ DBH. Canopy cover is highly variable, but usually dense. Understory dense. Lots of dead and downed material."
10110_16_23_24,A,Early1:ALL,Aspen suckers and saplings. Grass and forbs are present. Replacement fire occurs. Mixed - severity fire does not change vegetation dynamics.
10110_16_23_24,B,Mid1:CLS,"Aspen >6ft tall dominate. Canopy cover highly variable. Replacement fire occurs. Mixed - severity fire does not change the succession age of these stands, although this fire consumes litter and woody debris and may stimulate suckering."
10110_16_23_24,C,Mid2:CLS,True stable aspen trees 5-16in DBH. Canopy cover is highly variable. The fire return interval of mixed - severity fire does not change with age. Insec t/disease affects older trees.
10110_16_23_24,D,Late1:ALL,"Conifers begin to dominate  with aspen in the understory or co-dominant . Aspen 5- 16in DBH ; M ixed conifer , mixed sizes . Conifers are assumed more resistant to fire than aspen and will likely cause the progressive suppression of aspen"
10110_16_23_24,E,Late1:CLS,"Conifers dominate at 150yrs+. Aspen > 16in DBH ; mixed conifer , mixed sizes ; main overstory is conifers. Greater than 50% conifer in the overstory. Succession maintains conifer dominance."
10110_20_29,A,Early1:ALL,"Aspen suckers are <2m tall. Understory species include a wide variety of shrubs, forbs , and grasses. Under moderate to intense browsing, this condition could persist for long periods . This structure is an established, persistent, shrub-type aspen clone maintained in this state either because of continual browsing or sub - optimal site conditions. As such, it was the starting point in which to model asexual regeneration in the face of disturbance. This condition does not represent uncommon site establishment via sexual reproduction ,  which would revert to grass 3 yrs after seedling establishment. This is in response to reviewers â€™ suggestion that this class would be eliminated and returned to grass in 3 yrs under intense browsing; however, that scenario is not an accurate depiction of this class. Also , although aspen suppression by herbivores is important in the g reater Yellowstone e cosystem (which would more likely be a current condition, not a reference condition scenario being described) , there seems to be insufficient evidence that this process can extirpate a patch in 3 yrs. Aspen appear relatively persisting and certainly can be extirpated, but it is believed that this occurs far less frequently. Native grazing returns the class to the beginning of the state."
10110_20_29,B,Mid1:ALL,"Aspen >2m up to 10m tall dominate. Canopy cover usually closed , representing dense sapling stand. Fire frequency is highly variable because of site conditions and adjacent vegetation. Original modelers chose a 60 - yr interval for an average; however, reviewers recommended a 100 - yr interval .  The 100 - yr interval was chosen for the model based on several reviews. Insect/disease outbreaks are rare, but were not modeled to result in successional pathway changes. Because herbivory was insufficient to prevent succession, it was not modeled . This class originally was considered a closed, mid-development stage with between 41 - 100% cover .  H owever, it was changed to 21-100% cover and an all - structures stage to account for the possibility that the cover might be l ess at times."
